model,size,difficulty,em,relaxed_em,f1,rouge_l,meteor,bertscore,num_em,num_f1,abstain,nli,n,errors
gpt-oss-120b,Large,hard,0.0000,0.4000,0.2443,0.1631,0.2090,0.8438,0.4000,0.3051,0.0000,0.0000,15,0
gpt-oss-120b,Large,multihop,0.0000,0.2000,0.2322,0.1980,0.2300,0.7899,0.2667,0.3481,0.0000,0.1467,15,1
mistral-small-119b,Large,easy,0.0000,0.0000,0.0049,0.0048,0.0133,0.8349,0.2000,0.2000,0.0000,0.0000,15,0
mistral-small-119b,Large,medium,0.0000,0.0667,0.0928,0.0733,0.0854,0.8364,0.3333,0.3333,0.0000,0.0000,15,0
mistral-small-119b,Large,hard,0.0000,0.4000,0.1216,0.0722,0.0906,0.8331,0.2000,0.2308,0.0000,0.0051,15,0
mistral-small-119b,Large,multihop,0.0000,0.2000,0.0994,0.0937,0.1073,0.8317,0.3333,0.2889,0.0000,0.0667,15,0
qwen3.5-122b,VeryLarge,easy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
qwen3.5-122b,VeryLarge,medium,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
qwen3.5-122b,VeryLarge,hard,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
qwen3.5-122b,VeryLarge,multihop,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
qwen3.5-397b,VeryLarge,easy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
qwen3.5-397b,VeryLarge,medium,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
qwen3.5-397b,VeryLarge,hard,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
qwen3.5-397b,VeryLarge,multihop,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
mistral-large-675b,VeryLarge,easy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
mistral-large-675b,VeryLarge,medium,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
mistral-large-675b,VeryLarge,hard,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
mistral-large-675b,VeryLarge,multihop,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,15
