model,size_tier,difficulty,n_questions,exact_match,relaxed_em,token_f1,rouge_l,meteor,bertscore_f1,num_exact,num_f1,mape,abstain_rate,entailment_ratio,evidence_traceability,num_errors,regime
nemotron-120b,Large,easy,15,0.0667,0.0667,0.1275,0.1233,0.0845,0.834,0.2,0.2229,58.543,0.0,0.1422,0.2252,0,closed_book
nemotron-120b,Large,medium,15,0.0,0.1333,0.1397,0.1062,0.1559,0.8469,0.2667,0.2898,271.9429,0.0,0.0689,0.2606,0,closed_book
nemotron-120b,Large,hard,15,0.0,0.4667,0.1624,0.0971,0.1242,0.8341,0.3333,0.3102,49.5743,0.0,0.0105,0.2161,0,closed_book
nemotron-120b,Large,multihop,15,0.0,0.2,0.1343,0.0994,0.1251,0.832,0.2667,0.2488,480.1802,0.0,0.058,0.2211,0,closed_book
gpt-oss-120b,Large,easy,15,0.0,0.0667,0.0969,0.0727,0.0652,0.8411,0.2,0.2,37.1808,0.0,0.0333,0.1502,0,closed_book
gpt-oss-120b,Large,medium,15,0.0,0.2,0.1663,0.1405,0.1473,0.8398,0.2,0.2167,15.2296,0.0,0.075,0.2075,0,closed_book
gpt-oss-120b,Large,hard,15,0.0,0.4,0.2443,0.1631,0.209,0.8438,0.4,0.3051,136.8257,0.0,0.0,0.2491,0,closed_book
gpt-oss-120b,Large,multihop,15,0.0,0.2,0.2322,0.198,0.23,0.7899,0.2667,0.3481,691.3333,0.0,0.1467,0.2126,1,closed_book
mistral-small-119b,Large,easy,15,0.0,0.0,0.0049,0.0048,0.0133,0.8349,0.2,0.2,,0.0,0.0,0.0333,0,closed_book
mistral-small-119b,Large,medium,15,0.0,0.0667,0.0928,0.0733,0.0854,0.8364,0.3333,0.3333,0.0,0.0,0.0,0.1719,0,closed_book
mistral-small-119b,Large,hard,15,0.0,0.4,0.1216,0.0722,0.0906,0.8331,0.2,0.2308,37.7733,0.0,0.0051,0.2231,0,closed_book
mistral-small-119b,Large,multihop,15,0.0,0.2,0.0994,0.0937,0.1073,0.8317,0.3333,0.2889,0.0,0.0,0.0667,0.1857,0,closed_book
qwen3.5-122b,VeryLarge,easy,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
qwen3.5-122b,VeryLarge,medium,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
qwen3.5-122b,VeryLarge,hard,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
qwen3.5-122b,VeryLarge,multihop,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
qwen3.5-397b,VeryLarge,easy,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
qwen3.5-397b,VeryLarge,medium,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
qwen3.5-397b,VeryLarge,hard,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
qwen3.5-397b,VeryLarge,multihop,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
mistral-large-675b,VeryLarge,easy,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
mistral-large-675b,VeryLarge,medium,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
mistral-large-675b,VeryLarge,hard,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
mistral-large-675b,VeryLarge,multihop,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15,closed_book
