model,size,tiers,total_questions,avg_exact_match,avg_relaxed_em,avg_token_f1,avg_rouge_l,avg_meteor,avg_bertscore_f1,avg_num_exact,avg_num_f1,avg_abstain_rate,avg_nli,total_errors
nemotron-nano-8b,Small (8B),4,60,0.0,0.1333,0.1896,0.1289,0.2004,0.8414,0.3,0.3316,0.0,0.0144,0
nemotron-super-49b,Medium (49B),4,60,0.0,0.05,0.1592,0.0918,0.1764,0.819,0.1667,0.2166,0.1333,0.0465,0
nemotron-120b,Large (120B MoE),4,60,0.0167,0.2167,0.141,0.1065,0.1224,0.8367,0.2667,0.2679,0.0,0.0699,0
llama4-maverick,Medium (17B MoE),4,60,0.0,0.1167,0.1293,0.0785,0.1399,0.8377,0.2833,0.3216,0.0167,0.0376,0
mistral-nemotron,Medium (~24B),4,60,0.0,0.1834,0.1248,0.0931,0.1195,0.8411,0.2667,0.2746,0.0,0.0096,0
llama3.3-70b,Large (70B),4,60,0.0,0.1834,0.0848,0.0631,0.0783,0.8355,0.2666,0.2957,0.0,0.0083,0
llama3.1-8b,Small (8B),4,60,0.0,0.15,0.0829,0.0587,0.0792,0.8348,0.2666,0.2606,0.0,0.0167,0
mistral-small-119b,Large (119B),4,60,0.0,0.1667,0.0797,0.061,0.0742,0.834,0.2666,0.2632,0.0,0.018,0
llama3.2-3b,Small (3B),4,60,0.0,0.1667,0.0773,0.0531,0.0788,0.8339,0.2334,0.2639,0.0,0.0104,0
