model,size,difficulty,n_questions,exact_match,relaxed_em,token_f1,rouge_l,meteor,bertscore_p,bertscore_r,bertscore_f1,num_exact,num_f1,mape,tol1_acc,tol5_acc,tol10_acc,tol_n,abstain_rate,entailment_ratio,evidence_traceability,directional_accuracy,avg_latency_ms,num_errors,regime
nemotron-120b,Large (120B MoE),hard,15,0.0,0.4667,0.1624,0.0971,0.1242,0.8432,0.8265,0.8341,0.3333,0.3102,49.5743,0.2,0.2,0.2,15,0.0,0.0105,0.2161,0.5,14162.0,0,closed_book
nemotron-120b,Large (120B MoE),multihop,15,0.0,0.2,0.1343,0.0994,0.1251,0.8395,0.8281,0.832,0.2667,0.2488,480.1802,0.0667,0.0667,0.0667,15,0.0,0.058,0.2211,0.375,17343.1,0,closed_book
nemotron-nano-8b,Small (8B),easy,15,0.0,0.0,0.0266,0.0212,0.0516,0.8048,0.8292,0.8166,0.2,0.2,651.878,0.0,0.0,0.0,12,0.0,0.0133,0.4033,0.0,1447.4,0,closed_book
nemotron-nano-8b,Small (8B),medium,15,0.0,0.2,0.1871,0.129,0.2148,0.8434,0.8518,0.8473,0.2667,0.2692,407.5614,0.1429,0.1429,0.1429,14,0.0,0.0,0.237,0.6667,1869.7,0,closed_book
nemotron-nano-8b,Small (8B),hard,15,0.0,0.2667,0.2748,0.1688,0.228,0.8563,0.8423,0.849,0.3333,0.4259,524.8599,0.2,0.2,0.2,15,0.0,0.0,0.2643,0.4286,1970.9,0,closed_book
nemotron-nano-8b,Small (8B),multihop,15,0.0,0.0667,0.2701,0.1967,0.3074,0.8499,0.8569,0.8527,0.4,0.4311,529.6287,0.1333,0.1333,0.1333,15,0.0,0.0444,0.2499,0.25,1964.2,0,closed_book
nemotron-super-49b,Medium (49B),easy,15,0.0,0.0,0.0128,0.0079,0.0222,0.7875,0.8327,0.809,0.2,0.1524,541.3508,0.0833,0.0833,0.0833,12,0.0667,0.0226,0.2528,0.0,84162.9,0,closed_book
nemotron-super-49b,Medium (49B),medium,15,0.0,0.0,0.1788,0.1108,0.1911,0.8013,0.8471,0.823,0.1333,0.1586,342.604,0.1429,0.1429,0.1429,14,0.0667,0.0763,0.2891,0.3333,60576.0,0,closed_book
nemotron-super-49b,Medium (49B),hard,15,0.0,0.0667,0.2237,0.1157,0.2249,0.8026,0.8469,0.8239,0.0667,0.2771,435.7196,0.1333,0.1333,0.1333,15,0.2,0.0204,0.345,0.2143,32719.3,0,closed_book
nemotron-super-49b,Medium (49B),multihop,15,0.0,0.1333,0.2215,0.1328,0.2675,0.7924,0.8511,0.8202,0.2667,0.2783,312.0311,0.2,0.2,0.2,15,0.2,0.0667,0.2921,0.625,48923.4,0,closed_book
